,p1_delay,p2_delay,p3_delay,p1_max_queue,p2_max_queue,p3_max_queue,c_amount,p1_amount,p2_amount,p3_amount,p1_mq,p2_mq,p3_mq,p1_fail,p2_fail,p3_fail
0,1.0,1.0,1.0,5,5,5,552,543,539,528,0.5771626646318146,0.3659781095620723,0.6175738546410593,9,4,7
1,5.0,1.0,1.0,5,5,5,535,219,220,220,4.18072827974915,0.055809362820437906,0.05932242587210234,310,0,0
2,1.0,5.0,1.0,5,5,5,517,502,167,167,0.532654162303444,4.442078594016508,0.016416272222614648,13,333,0
3,1.0,1.0,5.0,5,5,5,489,484,479,201,0.4586206748998553,0.40811594475708957,4.285394446071069,4,4,273
4,1.0,1.0,1.0,1,5,5,512,499,498,497,0.4851868314790816,0.49838400139694733,0.48116961039643175,13,0,0
5,1.0,1.0,1.0,5,1,5,476,475,475,475,0.3240311358975069,0.36310935505950254,0.27654244203582945,0,1,0
6,1.0,1.0,1.0,5,5,1,512,504,502,492,0.4446828038807801,0.3935940673063474,0.541041706228848,6,3,9
7,5.0,5.0,5.0,5,5,5,188,171,143,131,1.7841907212924197,1.9757706178424435,1.1288284707638694,17,24,11
8,1.0,1.0,1.0,1,1,1,999,848,789,755,2.204381866968711,1.6896029792168321,1.3255703084325299,148,57,34
9,5.0,5.0,5.0,1,1,1,1002,232,190,162,4.692577305420015,1.7470292458138745,2.3065060985264325,765,37,27
